user_id,movie_id,rank,pred_score,label
1,2858,1,0.458578,0
1,1704,2,0.427693,0
1,1968,3,0.42333,0
1,3448,4,0.407333,0
1,593,5,0.293945,0
1,1784,6,0.24207,0
1,2716,7,0.219233,0
1,1259,8,0.218263,0
1,2174,9,0.210268,0
1,1197,10,0.203894,0
2,2352,1,0.649273,0
2,1307,2,0.419003,0
2,1393,3,0.408504,0
2,1302,4,0.405639,0
2,1299,5,0.29381,0
2,356,6,0.221366,0
2,1961,7,0.16402,0
2,1231,8,0.122509,0
2,1213,9,0.116438,0
2,1242,10,0.086065,0
3,648,1,0.697437,0
3,1127,2,0.60111,0
3,2406,3,0.575536,0
3,1275,4,0.554083,0
3,1580,5,0.53872,0
3,3527,6,0.474129,0
3,2628,7,0.439723,0
3,1387,8,0.409343,0
3,349,9,0.400026,0
3,380,10,0.398444,0
4,2948,1,0.529277,0
4,1610,2,0.511435,0
4,1210,3,0.465157,0
4,1580,4,0.415334,0
4,1196,5,0.374635,0
4,1127,6,0.341321,0
4,2949,7,0.334527,0
4,589,8,0.241524,0
4,1200,9,0.15646,0
4,2944,10,0.132254,0
5,235,1,0.283045,0
5,800,2,0.275717,0
5,1,3,0.136213,0
5,2391,4,0.113861,0
5,260,5,0.112578,0
5,778,6,0.080602,0
5,1673,7,0.071232,0
5,318,8,0.056798,0
5,1732,9,0.047461,1
5,1617,10,0.042864,0
6,1028,1,0.515739,0
6,2355,2,0.475825,0
6,3114,3,0.40795,0
6,597,4,0.326053,1
6,539,5,0.281909,0
6,357,6,0.224,0
6,356,7,0.138479,0
6,2078,8,0.073977,0
6,2080,9,0.068116,0
6,2858,10,0.034909,0
7,780,1,1.086492,0
7,1580,2,1.026401,0
7,349,3,0.7079,1
7,3256,4,0.652049,1
7,1370,5,0.644118,0
7,2353,6,0.637638,1
7,1210,7,0.626096,0
7,2058,8,0.483481,0
7,1608,9,0.481712,0
7,165,10,0.466812,0
8,778,1,0.378812,0
8,1271,2,0.331433,0
8,2268,3,0.273624,0
8,1682,4,0.257733,0
8,593,5,0.168905,0
8,3418,6,0.159951,0
8,2324,7,0.100669,0
8,235,8,0.048298,0
8,356,9,0.043882,0
8,1635,10,0.034537,0
9,1682,1,0.654794,1
9,2396,2,0.59045,0
9,1580,3,0.482085,0
9,356,4,0.474942,0
9,2395,5,0.446945,0
9,2268,6,0.438498,1
9,2291,7,0.402866,0
9,589,8,0.351116,0
9,32,9,0.344249,0
9,2321,10,0.334947,0
10,260,1,0.300833,1
10,1196,2,0.217116,1
10,2858,3,0.152331,0
10,318,4,0.09265,1
10,593,5,0.051477,0
10,296,6,0.002059,0
10,1197,7,-0.005092,0
10,858,8,-0.037697,0
10,2571,9,-0.089365,1
10,1213,10,-0.131757,0
11,1732,1,0.770789,1
11,2716,2,0.386767,0
11,2324,3,0.351411,0
11,2599,4,0.314043,0
11,2395,5,0.308902,0
11,2797,6,0.304865,0
11,1307,7,0.280658,0
11,1968,8,0.242189,0
11,356,9,0.218322,0
11,2268,10,0.209264,0
12,296,1,0.14173,0
12,2858,2,0.0566,0
12,1196,3,0.021074,0
12,1234,4,-0.022727,0
12,111,5,-0.181852,0
12,1291,6,-0.195573,0
12,1617,7,-0.224025,0
12,1252,8,-0.234699,0
12,1213,9,-0.322629,0
12,1304,10,-0.389212,0
13,648,1,0.527289,0
13,480,2,0.505119,1
